"name","slug","sourceGroups","forwardRank","midfieldRank","defenderRank","excludedFromGroups","fc27Url","fc26Url","matchedBy"
"Erling Haaland","erling-haaland","forward","1","","","","https://www.futbin.com/27/player/1/erling-haaland","https://www.futbin.com/26/player/67/erling-haaland","forward-slug"
"Alexia Putellas Segura","alexia-putellas-segura","forward|midfield","2","1","","midfield","https://www.futbin.com/27/player/5/alexia-putellas-segura","https://www.futbin.com/26/player/105/alexia-putellas-segura","override"
"Kylian Mbappé","kylian-mbappe","forward","3","","","","https://www.futbin.com/27/player/8/kylian-mbappe","https://www.futbin.com/26/player/40/kylian-mbappe","forward-slug"
"Khadija Shaw","khadija-shaw","forward","4","","","","https://www.futbin.com/27/player/7/khadija-shaw","https://www.futbin.com/26/player/138/khadija-shaw","forward-slug"
"Ousmane Dembélé","ousmane-dembele","forward|midfield","5","4","","midfield","https://www.futbin.com/27/player/31/ousmane-dembele","https://www.futbin.com/26/player/51/ousmane-dembele","forward-slug"
"Harry Kane","harry-kane","forward","6","","","","https://www.futbin.com/27/player/55/harry-kane","https://www.futbin.com/26/player/69/harry-kane","forward-slug"
"Michael Olise","michael-olise","forward|midfield","7","6","","midfield","https://www.futbin.com/27/player/62/michael-olise","https://www.futbin.com/26/player/242/michael-olise","forward-slug"
"Lamine Yamal Nasraoui Ebana","lamine-yamal-nasraoui-ebana","forward|midfield","8","8","","midfield","https://www.futbin.com/27/player/81/lamine-yamal-nasraoui-ebana","https://www.futbin.com/26/player/85/lamine-yamal-nasraoui-ebana","forward-slug"
"Jude Bellingham","jude-bellingham","forward|midfield","9","9","","midfield","https://www.futbin.com/27/player/90/jude-bellingham","","unmatched"
"Caroline Graham Hansen","caroline-graham-hansen","forward|midfield","10","10","","midfield","https://www.futbin.com/27/player/12/caroline-graham-hansen","https://www.futbin.com/26/player/117/caroline-graham-hansen","forward-slug"
"Ewa Pajor","ewa-pajor","forward|midfield","11","12","","midfield","https://www.futbin.com/27/player/18/ewa-pajor","https://www.futbin.com/26/player/99/ewa-pajor","forward-slug"
"Claudia Pina Medina","claudia-pina-medina","forward|midfield","12","13","","midfield","https://www.futbin.com/27/player/19/claudia-pina-medina","https://www.futbin.com/26/player/243/claudia-pina-medina","forward-slug"
