chronological_rank,release_date,date_confidence,evolution_id,name,name_zh,slug,category,status,url
1,2025-09-18,inferred,5,Intro to Evolutions,,intro-to-evolutions,EVOLUTIONS,active,https://www.futbin.com/26/evolutions/5/intro-to-evolutions
2,2025-09-18,normalized,6,Intro to Training Camp EVOs I,,intro-to-training-camp-evos-i,TRAINING CAMP,active,https://www.futbin.com/26/evolutions/6/intro-to-training-camp-evos-i
3,2025-09-18,normalized,7,Intro to Training Camp EVOs II,,intro-to-training-camp-evos-ii,TRAINING CAMP,active,https://www.futbin.com/26/evolutions/7/intro-to-training-camp-evos-ii
4,2025-09-19,inferred,8,Intro to Rewards EVOs,,intro-to-rewards-evos,REWARDS,active,https://www.futbin.com/26/evolutions/8/intro-to-rewards-evos
5,2025-09-19,exact,9,Club Member Reward,,club-member-reward,REWARDS,active,https://www.futbin.com/26/evolutions/9/club-member-reward
6,2025-09-19,exact,10,Rising Guard,,rising-guard,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/10/rising-guard
7,2025-09-20,exact,11,Cover Athlete,,cover-athlete,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/11/cover-athlete
8,2025-09-21,exact,12,The Debut,,the-debut,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/12/the-debut
9,2025-09-22,exact,13,Striker’s Rise,,strikers-rise,TRAINING CAMP,expired,https://www.futbin.com/26/evolutions/13/strikers-rise
10,2025-09-23,exact,14,Passing Prodigy,,passing-prodigy,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/14/passing-prodigy
11,2025-09-25,exact,15,One Shot,,one-shot,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/15/one-shot
12,2025-09-26,exact,16,Complete Connection,,complete-connection,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/16/complete-connection
13,2025-09-26,exact,17,Relentless Pressure,,relentless-pressure,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/17/relentless-pressure
14,2025-09-27,exact,18,Long Ball Pass,,long-ball-pass,EVOLUTIONS,expired,https://www.futbin.com/26/evolutions/18/long-ball-pass
