slug,name,name_zh,source_groups,platform,date,period,price,available,source_url
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-18,week1,795831,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-19,week1,925188,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-20,week1,1112561,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-21,week1,1379051,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-22,week1,1523406,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-23,week1,1162537,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-24,week1,944531,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-25,week2,294069,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-26,week2,230292,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-27,week2,250785,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-28,week2,212910,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-29,week2,191833,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-09-30,week2,171340,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-01,week2,141979,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-02,week3,140389,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-03,week3,145403,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-04,week3,116986,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-05,week3,100795,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-06,week3,103778,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-07,week3,105573,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-08,week3,106299,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-09,week4,97813,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-10,week4,93948,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-11,week4,76507,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-12,week4,70625,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-13,week4,65917,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-14,week4,55165,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-15,week4,57125,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-16,tail,53220,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,2025-10-17,tail,51276,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-18,week1,676909,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-19,week1,899000,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-20,week1,,false,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-21,week1,,false,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-22,week1,,false,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-23,week1,,false,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-24,week1,481882,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-25,week2,314667,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-26,week2,231444,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-27,week2,242590,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-28,week2,213000,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-29,week2,191819,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-09-30,week2,174691,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-01,week2,136217,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-02,week3,136063,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-03,week3,140264,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-04,week3,111219,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-05,week3,97406,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-06,week3,98979,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-07,week3,99771,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-08,week3,98806,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-09,week4,94354,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-10,week4,90066,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-11,week4,69198,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-12,week4,62774,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-13,week4,58974,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-14,week4,49071,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-15,week4,49342,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-16,tail,46155,true,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,2025-10-17,tail,44497,true,https://www.futbin.com/26/player/67/erling-haaland/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,2025-09-18,week1,658472,true,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,2025-09-19,week1,599243,true,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,2025-09-20,week1,556868,true,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,2025-09-21,week1,540479,true,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,2025-09-22,week1,543993,true,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,2025-09-23,week1,570208,true,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
