slug,name,name_zh,source_groups,platform,signal,observed_days,start,end,change_pct,last_7d_change_pct,last_14d_change_pct,daily_volatility,max_drawdown,price_position,support_7d,resistance_7d,break_even_buy_price,tax_adjusted_return,opportunity_score,risk_score,trough_date,peak_date,source_url
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,持续下行,30,795831,51276,-0.9355692351768152,-0.32978681689257194,-0.5616911425298754,0.173081479690958,0.9663412117321318,0,51276,76507,48712,-0.9387907734179745,25,91,2025-10-17,2025-09-22,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,数据不足,26,676909,44497,-0.9342644284534554,-0.3569611838492442,-0.599915482066913,0.15230925923785926,0.950503893214683,0,44497,69198,42272,-0.9375512070307825,,86,2025-10-17,2025-09-19,https://www.futbin.com/26/player/67/erling-haaland/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,持续下行,30,658472,321701,-0.5114431593142913,-0.16344823640770134,-0.2934074261177065,0.0512259494872491,0.5278948839130593,0.031164773708012565,310868,384556,305615,-0.5358710013485767,38,40,2025-10-14,2025-09-18,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,pc,持续下行,30,833803,353715,-0.5757810897778012,-0.1374256527559996,-0.26332856402021854,0.05724554852464804,0.5955111699046417,0.03313133510157309,337264,410069,336029,-0.5969920352889112,40,45,2025-10-14,2025-09-18,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
kylian-mbappe,Kylian Mbappé,基利安·姆巴佩,forward,cross,持续下行,30,4437180,2142986,-0.5170387498366079,-0.17411363083678674,-0.25042218680874345,0.03124371954453338,0.5170387498366079,0,2142986,2594771,2035836,-0.5411868123447775,39,35,2025-10-17,2025-09-18,https://www.futbin.com/26/player/40/kylian-mbappe/market
kylian-mbappe,Kylian Mbappé,基利安·姆巴佩,forward,pc,持续下行,30,5203388,2299542,-0.5580683201022103,-0.13090924620840336,-0.24907470843600743,0.0439505331409656,0.5607361972622453,0.004757811557485825,2285660,2645917,2184564,-0.5801649040970999,42,41,2025-10-14,2025-09-18,https://www.futbin.com/26/player/40/kylian-mbappe/market
khadija-shaw,Khadija Shaw,卡蒂嘉·肖,forward,cross,区间震荡,30,11683,21536,0.8433621501326714,0.010320885719647213,0.12067440287245668,0.04957895882590238,0.12444634947849693,0.9746760312592739,20043,21792,20459,0.751194042626038,52,18,2025-09-18,2025-10-16,https://www.futbin.com/26/player/138/khadija-shaw/market
khadija-shaw,Khadija Shaw,卡蒂嘉·肖,forward,pc,区间震荡,30,13990,21038,0.5037884203002144,-0.014798164278355343,0.08516015886934544,0.051042806255076754,0.11124535731865574,0.8644646924829157,19861,21477,19986,0.4285989992852036,52,17,2025-09-20,2025-10-09,https://www.futbin.com/26/player/138/khadija-shaw/market
ousmane-dembele,Ousmane Dembélé,奥斯曼·登贝莱,forward|midfield,cross,持续下行,30,2219831,1216326,-0.45206369313700007,-0.1794133838506501,-0.27585289226971776,0.04280001747815586,0.5037265550153011,0.02675566641235791,1184167,1482264,1155509,-0.4794605084801501,38,37,2025-10-14,2025-09-19,https://www.futbin.com/26/player/51/ousmane-dembele/market
ousmane-dembele,Ousmane Dembélé,奥斯曼·登贝莱,forward|midfield,pc,持续下行,30,2990722,1244715,-0.5838078564306546,-0.13041033071535063,-0.25683731877157234,0.05332106236827471,0.5907784140418267,0.011798937546622415,1223868,1431382,1182479,-0.6046174636091218,41,44,2025-10-14,2025-09-18,https://www.futbin.com/26/player/51/ousmane-dembele/market
harry-kane,Harry Kane,哈里·凯恩,forward,cross,高波动,30,146104,21391,-0.8535905930022449,-0.00418974908058284,0.05796528018200702,0.18620874282823494,0.9103136770392009,0.01901763293385864,20332,21932,20321,-0.8609110633521327,44,91,2025-10-01,2025-09-19,https://www.futbin.com/26/player/69/harry-kane/market
harry-kane,Harry Kane,哈里·凯恩,forward,pc,高波动,30,160563,20745,-0.8707983782066853,-0.043480265584655106,0.014375825143024792,0.18851831550094003,0.9224316254206564,0.01509978866033604,20014,21688,19707,-0.8772584592963509,40,92,2025-09-27,2025-09-23,https://www.futbin.com/26/player/69/harry-kane/market
michael-olise,Michael Olise,米高·奥利斯,forward|midfield,cross,区间震荡,30,8316,6933,-0.16630591630591632,-0.04923203510696654,0.11768499113332259,0.08864055352096792,0.47352773013150373,0.5624245351364405,6933,7330,6586,-0.20799062049062056,39,46,2025-09-25,2025-09-19,https://www.futbin.com/26/player/242/michael-olise/market
michael-olise,Michael Olise,米高·奥利斯,forward|midfield,pc,区间震荡,30,11176,7029,-0.37106299212598426,-0.06117269934553225,0.11042654028436019,0.11035947447163244,0.5951145311381532,0.3764847391369719,7029,7584,6677,-0.4025098425196851,36,57,2025-09-25,2025-09-18,https://www.futbin.com/26/player/242/michael-olise/market
lamine-yamal-nasraoui-ebana,Lamine Yamal Nasraoui Ebana,拉明·亚马尔,forward|midfield,cross,持续下行,30,398573,199611,-0.49918584550383494,-0.17068560080434078,-0.2791849027169909,0.04950836464379717,0.5196588830653356,0.039397070325701763,191451,240694,189630,-0.5242265532286432,37,39,2025-10-14,2025-09-18,https://www.futbin.com/26/player/85/lamine-yamal-nasraoui-ebana/market
lamine-yamal-nasraoui-ebana,Lamine Yamal Nasraoui Ebana,拉明·亚马尔,forward|midfield,pc,持续下行,30,434180,200535,-0.5381293472753236,-0.17974549961346373,-0.27553954755315996,0.05482051263106988,0.553005665852872,0.02690084296804718,194076,244479,190508,-0.5612228799115574,36,42,2025-10-14,2025-09-18,https://www.futbin.com/26/player/85/lamine-yamal-nasraoui-ebana/market
caroline-graham-hansen,Caroline Graham Hansen,卡罗琳·格拉汉姆·汉森,forward|midfield,cross,持续下行,30,948404,404007,-0.5740138168965968,-0.18367581984603262,-0.37048105944332166,0.045755394574592045,0.5740138168965968,0,404007,494910,383806,-0.5953131260517671,37,42,2025-10-17,2025-09-18,https://www.futbin.com/26/player/117/caroline-graham-hansen/market
caroline-graham-hansen,Caroline Graham Hansen,卡罗琳·格拉汉姆·汉森,forward|midfield,pc,持续下行,30,1467758,428271,-0.708214160645011,-0.16553624210635018,-0.35715797452774256,0.0709366404608745,0.708214160645011,0,428271,513229,406857,-0.7228034526127605,36,55,2025-10-17,2025-09-18,https://www.futbin.com/26/player/117/caroline-graham-hansen/market
ewa-pajor,Ewa Pajor,艾娃·帕约尔,forward|midfield,cross,区间震荡,30,18452,13181,-0.285660091047041,-0.0354189535309184,0.06962590278341313,0.0769225973986823,0.3452742250162584,0.17265735363365248,13175,13665,12521,-0.321377086494689,49,36,2025-10-05,2025-09-18,https://www.futbin.com/26/player/99/ewa-pajor/market
ewa-pajor,Ewa Pajor,艾娃·帕约尔,forward|midfield,pc,区间震荡,30,31756,13425,-0.5772452449930722,-0.03639104220499569,0.011375621515745065,0.11030859187724397,0.5958244111349036,0.031182284234448496,13425,14092,12753,-0.5983829827434186,45,57,2025-10-05,2025-09-18,https://www.futbin.com/26/player/99/ewa-pajor/market
claudia-pina-medina,Claudia Pina Medina,克劳蒂亚·皮纳,forward|midfield,cross,持续下行,30,4881,36988,6.577955337021102,-0.31492285751328924,-0.3395825521809774,0.31635361125297495,0.5466823540946638,0.42394813647751634,36988,53991,35138,6.199057570170047,34,100,2025-09-20,2025-10-09,https://www.futbin.com/26/player/243/claudia-pina-medina/market
claudia-pina-medina,Claudia Pina Medina,克劳蒂亚·皮纳,forward|midfield,pc,持续下行,30,5182,53981,9.417020455422616,-0.22749649388935,-0.1987145232157701,0.4553754708723886,0.44983781879229406,0.5386969022947974,53089,69878,51281,8.896169432651485,32,100,2025-09-20,2025-10-09,https://www.futbin.com/26/player/243/claudia-pina-medina/market
temwa-chawinga,Temwa Chawinga,特姆瓦·查温佳,forward|midfield,cross,区间震荡,30,6849,6922,0.010658490290553366,-0.02808199943836001,0.11897833818299386,0.08670838243115679,0.3564023945101475,0.7608958837772397,6922,7279,6575,-0.03987443422397435,40,39,2025-09-25,2025-10-09,https://www.futbin.com/26/player/1150/temwa-chawinga/market
temwa-chawinga,Temwa Chawinga,特姆瓦·查温佳,forward|midfield,pc,区间震荡,30,6411,6970,0.08719388550928092,-0.048853711790393016,0.0938480853735091,0.08598084723582775,0.30354078926844485,0.7042451504076469,6970,7485,6621,0.032834191233816874,41,36,2025-09-21,2025-10-09,https://www.futbin.com/26/player/1150/temwa-chawinga/market
lionel-messi,Lionel Messi,利昂内尔·梅西,forward|midfield,cross,反弹观察,30,27303,10649,-0.6099696004102113,0.39604090194022024,0.1894337093711605,0.1285905877551978,0.7386865814805933,0.14010109910494828,7628,10649,10116,-0.6294711203897008,64,69,2025-10-11,2025-09-23,https://www.futbin.com/26/player/254/lionel-messi/market
