slug,name,name_zh,source_groups,platform,trend,week1_observed_days,week1_start,week1_end,week1_change,week1_change_pct,week1_average,week1_median,week1_min,week1_max,week1_range_pct,week2_observed_days,week2_start,week2_end,week2_change,week2_change_pct,week2_average,week2_median,week2_min,week2_max,week2_range_pct,week3_observed_days,week3_start,week3_end,week3_change,week3_change_pct,week3_average,week3_median,week3_min,week3_max,week3_range_pct,overall_observed_days,overall_start,overall_end,overall_change,overall_change_pct,overall_average,overall_median,overall_min,overall_max,overall_range_pct,source_url
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,cross,震荡下行,7,795831,944531,148700,0.1868487153679613,1120443.5714285714,1112561,795831,1523406,0.9142330469660016,7,294069,141979,-152090,-0.5171915434812918,213315.42857142858,212910,141979,294069,1.0712147571119672,7,140389,106299,-34090,-0.24282529257990298,117031.85714285714,106299,100795,145403,0.4425616350017362,21,795831,106299,-689532,-0.8664301842979225,483596.95238095237,212910,100795,1523406,14.113904459546605,https://www.futbin.com/26/player/67/erling-haaland/market
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,pc,三周连跌,3,676909,481882,-195027,-0.2881140596446494,685930.3333333334,676909,481882,899000,0.8656019523451799,7,314667,136217,-178450,-0.5671074500980402,214918.2857142857,213000,136217,314667,1.3100420652341485,7,136063,98806,-37257,-0.2738216855427265,111786.85714285714,99771,97406,140264,0.4399934295628606,17,676909,98806,-578103,-0.8540335554705285,255572.17647058822,174691,97406,899000,8.229410919245222,https://www.futbin.com/26/player/67/erling-haaland/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,cross,三周连跌,7,658472,538903,-119569,-0.1815855495753806,572595.1428571428,556868,538903,658472,0.2218748086390315,7,514590,512413,-2177,-0.004230552478672341,510773.28571428574,514590,472951,533111,0.12720133798215882,7,510403,435424,-74979,-0.14690156601744112,452001.4285714286,435424,411556,510403,0.24017873630806014,21,658472,435424,-223048,-0.3387357397125466,511789.95238095237,514590,411556,658472,0.5999572354673484,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,pc,三周连跌,7,833803,591958,-241845,-0.29005052752268823,654102.8571428572,610361,591958,833803,0.4085509444926836,7,583104,579800,-3304,-0.005666227636922401,589156.2857142857,588771,549417,620488,0.1293571185456584,7,569667,469931,-99736,-0.17507772084393164,487829.28571428574,469931,443056,569667,0.2857674876313604,21,833803,469931,-363872,-0.4364004447093618,577029.4761904762,588771,443056,833803,0.8819359178072298,https://www.futbin.com/26/player/105/alexia-putellas-segura/market
kylian-mbappe,Kylian Mbappé,基利安·姆巴佩,forward,cross,三周连跌,7,4437180,4186271,-250909,-0.05654695099139544,4228229.142857143,4191861,4186271,4437180,0.05993615797926126,7,3996826,3362149,-634677,-0.15879525403407604,3700857.4285714286,3772646,3362149,3996826,0.18877122935360688,7,3194611,2674708,-519903,-0.1627437581602267,2820178.5714285714,2674708,2610854,3194611,0.22358852697240061,21,4437180,2674708,-1762472,-0.39720543227906013,3583088.380952381,3772646,2610854,4437180,0.6995128796937707,https://www.futbin.com/26/player/40/kylian-mbappe/market
kylian-mbappe,Kylian Mbappé,基利安·姆巴佩,forward,pc,三周连跌,7,5203388,4914931,-288457,-0.05543638106556728,4786005.428571428,4862486,4363535,5203388,0.1924707834359069,7,4700493,3814322,-886171,-0.1885272459718587,4496514.285714285,4676882,3814322,4835389,0.2676929215729558,7,3609111,2712868,-896243,-0.24832791233076512,2998560,2825111,2660382,3609111,0.35661382463119956,21,5203388,2712868,-2490520,-0.4786343051873126,4093693.238095238,4369688,2660382,5203388,0.9558800202376951,https://www.futbin.com/26/player/40/kylian-mbappe/market
khadija-shaw,Khadija Shaw,卡蒂嘉·肖,forward,cross,三周连涨,7,11683,14105,2422,0.20730976632714201,13378.714285714286,13395,11683,14446,0.23649747496362236,7,14552,17168,2616,0.17976910390324355,15810.57142857143,15892,14260,17725,0.24298737727910238,7,19344,20378,1034,0.05345326716294458,19504.85714285714,19285,18384,20997,0.14213446475195823,21,11683,20378,8695,0.7442437730035094,16231.380952380952,15892,11683,20997,0.797226739707267,https://www.futbin.com/26/player/138/khadija-shaw/market
khadija-shaw,Khadija Shaw,卡蒂嘉·肖,forward,pc,三周连涨,7,13990,15290,1300,0.09292351679771266,14280.857142857143,13990,12689,15618,0.2308298526282607,7,15404,18421,3017,0.19585821864450792,16946.714285714286,17028,15192,18840,0.2401263823064771,7,20163,20962,799,0.039627039627039624,20118.571428571428,19839,19252,21582,0.12102638686889673,21,13990,20962,6972,0.4983559685489635,17115.380952380954,17028,12689,21582,0.7008432500591063,https://www.futbin.com/26/player/138/khadija-shaw/market
ousmane-dembele,Ousmane Dembélé,奥斯曼·登贝莱,forward|midfield,cross,震荡下行,7,2219831,2384347,164516,0.07411194816181953,2296679.285714286,2269299,2215549,2386118,0.07698723882884106,7,2259590,1995864,-263726,-0.11671409414982364,2130564,2137153,1995864,2259590,0.1321362577810913,7,1904965,1537972,-366993,-0.19265078361019755,1655041.7142857143,1562472,1520778,1904965,0.2526253009972527,21,2219831,1537972,-681859,-0.30716707713334934,2027428.3333333333,2137153,1520778,2386118,0.5690113875924033,https://www.futbin.com/26/player/51/ousmane-dembele/market
ousmane-dembele,Ousmane Dembélé,奥斯曼·登贝莱,forward|midfield,pc,三周连跌,7,2990722,2214139,-776583,-0.2596640543654676,2439374,2214139,2160792,2990722,0.38408602031107114,7,2333611,2188508,-145103,-0.062179600627525325,2299263,2294924,2188508,2362201,0.07936594245942898,7,2076500,1486507,-589993,-0.2841285817481339,1662245.5714285714,1524319,1458319,2076500,0.4238997091857131,21,2990722,1486507,-1504215,-0.5029604891394118,2133627.523809524,2208222,1458319,2990722,1.0508009564436862,https://www.futbin.com/26/player/51/ousmane-dembele/market
