slug,name,name_zh,source_groups,fc27_url,fc26_url,source_url,status,cross_2025-09-18,cross_2025-09-19,cross_2025-09-20,cross_2025-09-21,cross_2025-09-22,cross_2025-09-23,cross_2025-09-24,cross_observed_days,cross_start,cross_end,cross_change,cross_change_pct,cross_min,cross_max,cross_range_pct,pc_2025-09-18,pc_2025-09-19,pc_2025-09-20,pc_2025-09-21,pc_2025-09-22,pc_2025-09-23,pc_2025-09-24,pc_observed_days,pc_start,pc_end,pc_change,pc_change_pct,pc_min,pc_max,pc_range_pct,error
erling-haaland,Erling Haaland,埃尔林·哈兰德,forward,https://www.futbin.com/27/player/1/erling-haaland,https://www.futbin.com/26/player/67/erling-haaland,https://www.futbin.com/26/player/67/erling-haaland/market,captured,795831,925188,1112561,1379051,1523406,1162537,944531,7,795831,944531,148700,0.1868487153679613,795831,1523406,0.9142330469660016,676909,899000,,,,,481882,3,676909,481882,-195027,-0.2881140596446494,481882,899000,0.8656019523451799,
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,forward|midfield,https://www.futbin.com/27/player/5/alexia-putellas-segura,https://www.futbin.com/26/player/105/alexia-putellas-segura,https://www.futbin.com/26/player/105/alexia-putellas-segura/market,captured,658472,599243,556868,540479,543993,570208,538903,7,658472,538903,-119569,-0.1815855495753806,538903,658472,0.2218748086390315,833803,693799,643847,609542,595410,610361,591958,7,833803,591958,-241845,-0.29005052752268823,591958,833803,0.4085509444926836,
kylian-mbappe,Kylian Mbappé,基利安·姆巴佩,forward,https://www.futbin.com/27/player/8/kylian-mbappe,https://www.futbin.com/26/player/40/kylian-mbappe,https://www.futbin.com/26/player/40/kylian-mbappe/market,captured,4437180,4197771,4188507,4191861,4189118,4206896,4186271,7,4437180,4186271,-250909,-0.05654695099139544,4186271,4437180,0.05993615797926126,5203388,5162107,4862486,4369688,4363535,4625903,4914931,7,5203388,4914931,-288457,-0.05543638106556728,4363535,5203388,0.1924707834359069,
khadija-shaw,Khadija Shaw,卡蒂嘉·肖,forward,https://www.futbin.com/27/player/7/khadija-shaw,https://www.futbin.com/26/player/138/khadija-shaw,https://www.futbin.com/26/player/138/khadija-shaw/market,captured,11683,13020,12978,13395,14024,14446,14105,7,11683,14105,2422,0.20730976632714201,11683,14446,0.23649747496362236,13990,13813,12689,13601,14965,15618,15290,7,13990,15290,1300,0.09292351679771266,12689,15618,0.2308298526282607,
ousmane-dembele,Ousmane Dembélé,奥斯曼·登贝莱,forward|midfield,https://www.futbin.com/27/player/31/ousmane-dembele,https://www.futbin.com/26/player/51/ousmane-dembele,https://www.futbin.com/26/player/51/ousmane-dembele/market,captured,2219831,2386118,2241368,2215549,2269299,2360243,2384347,7,2219831,2384347,164516,0.07411194816181953,2215549,2386118,0.07698723882884106,2990722,2918868,2403000,2179875,2160792,2208222,2214139,7,2990722,2214139,-776583,-0.2596640543654676,2160792,2990722,0.38408602031107114,
harry-kane,Harry Kane,哈里·凯恩,forward,https://www.futbin.com/27/player/55/harry-kane,https://www.futbin.com/26/player/69/harry-kane,https://www.futbin.com/26/player/69/harry-kane/market,captured,146104,199919,192697,195469,193424,191374,145132,7,146104,145132,-972,-0.006652795269123364,145132,199919,0.3774977262078659,160563,181333,190987,212833,186892,226729,144092,7,160563,144092,-16471,-0.10258278681888106,144092,226729,0.5735016517225107,
michael-olise,Michael Olise,米高·奥利斯,forward|midfield,https://www.futbin.com/27/player/62/michael-olise,https://www.futbin.com/26/player/242/michael-olise,https://www.futbin.com/26/player/242/michael-olise/market,captured,8316,8745,5911,5390,5260,5008,4679,7,8316,4679,-3637,-0.4373496873496874,4679,8745,0.868989100235093,11176,7120,4957,4604,4733,4789,4596,7,11176,4596,-6580,-0.5887616320687187,4596,11176,1.4316797214969539,
lamine-yamal-nasraoui-ebana,Lamine Yamal Nasraoui Ebana,拉明·亚马尔,forward|midfield,https://www.futbin.com/27/player/81/lamine-yamal-nasraoui-ebana,https://www.futbin.com/26/player/85/lamine-yamal-nasraoui-ebana,https://www.futbin.com/26/player/85/lamine-yamal-nasraoui-ebana/market,captured,398573,386056,349701,324257,321444,303764,273319,7,398573,273319,-125254,-0.3142561086676719,273319,398573,0.45827037271466675,434180,372618,320688,300535,316292,304333,283799,7,434180,283799,-150381,-0.34635634990096276,283799,434180,0.5298855880394223,
caroline-graham-hansen,Caroline Graham Hansen,卡罗琳·格拉汉姆·汉森,forward|midfield,https://www.futbin.com/27/player/12/caroline-graham-hansen,https://www.futbin.com/26/player/117/caroline-graham-hansen,https://www.futbin.com/26/player/117/caroline-graham-hansen/market,captured,948404,847806,776396,714153,722972,746708,748938,7,948404,748938,-199466,-0.2103175440002362,714153,948404,0.3280123446936441,1467758,1257236,897035,755201,757431,794306,785472,7,1467758,785472,-682286,-0.46484911000314766,755201,1467758,0.9435329137540867,
ewa-pajor,Ewa Pajor,艾娃·帕约尔,forward|midfield,https://www.futbin.com/27/player/18/ewa-pajor,https://www.futbin.com/26/player/99/ewa-pajor,https://www.futbin.com/26/player/99/ewa-pajor/market,captured,18452,18316,14132,13960,15512,15622,14628,7,18452,14628,-3824,-0.2072404075438977,13960,18452,0.32177650429799426,31756,24500,17986,17552,20533,21056,19286,7,31756,19286,-12470,-0.3926816979468447,17552,31756,0.8092525068368277,
claudia-pina-medina,Claudia Pina Medina,克劳蒂亚·皮纳,forward|midfield,https://www.futbin.com/27/player/19/claudia-pina-medina,https://www.futbin.com/26/player/243/claudia-pina-medina,https://www.futbin.com/26/player/243/claudia-pina-medina/market,captured,4881,4363,4160,4661,6558,7290,6880,7,4881,6880,1999,0.40954722392952264,4160,7290,0.7524038461538461,5182,4895,4332,4819,6999,8113,7163,7,5182,7163,1981,0.382284832111154,4332,8113,0.8728070175438597,
temwa-chawinga,Temwa Chawinga,特姆瓦·查温佳,forward|midfield,https://www.futbin.com/27/player/20/temwa-chawinga,https://www.futbin.com/26/player/1150/temwa-chawinga,https://www.futbin.com/26/player/1150/temwa-chawinga/market,captured,6849,5509,4625,4727,5366,4986,4498,7,6849,4498,-2351,-0.343261790042342,4498,6849,0.5226767452200978,6411,6036,4651,4465,5165,5042,4610,7,6411,4610,-1801,-0.28092341288410544,4465,6411,0.43583426651735724,
lionel-messi,Lionel Messi,利昂内尔·梅西,forward|midfield,https://www.futbin.com/27/player/22/lionel-messi,https://www.futbin.com/26/player/254/lionel-messi,https://www.futbin.com/26/player/254/lionel-messi/market,captured,27303,27042,20863,26214,29151,29191,22635,7,27303,22635,-4668,-0.17097022305241183,20863,29191,0.3991755739826487,33512,31182,23920,29705,35307,36578,29231,7,33512,29231,-4281,-0.12774528527094772,23920,36578,0.5291806020066889,
khvicha-kvaratskhelia,Khvicha Kvaratskhelia,科维查·克瓦拉茨赫利亚,forward|midfield,https://www.futbin.com/27/player/49/khvicha-kvaratskhelia,https://www.futbin.com/26/player/215/khvicha-kvaratskhelia,https://www.futbin.com/26/player/215/khvicha-kvaratskhelia/market,captured,183742,148590,131458,127042,132347,132299,114465,7,183742,114465,-69277,-0.3770341021649922,114465,183742,0.6052243043725156,335883,136316,109889,101236,116865,121618,107931,7,335883,107931,-227952,-0.6786648922392619,101236,335883,2.31782172349757,
vinicius-jose-de-oliveira-junior,Vinícius José de Oliveira Júnior,维尼修斯·儒尼奥尔,forward|midfield,https://www.futbin.com/27/player/80/vinicius-jose-de-oliveira-junior,https://www.futbin.com/26/player/47/vinicius-jose-de-oliveira-junior,https://www.futbin.com/26/player/47/vinicius-jose-de-oliveira-junior/market,captured,1423011,1421639,1351938,1315215,1322097,1321826,1310500,7,1423011,1310500,-112511,-0.07906544643716738,1310500,1423011,0.08585349103395651,2006633,1617403,1293125,1209069,1171882,1234965,1175750,7,2006633,1175750,-830883,-0.41406824267317444,1171882,2006633,0.7123165984288521,
klara-buhl,Klara Bühl,克拉拉·比尔,forward|midfield,https://www.futbin.com/27/player/29/klara-buhl,https://www.futbin.com/26/player/248/klara-buhl,https://www.futbin.com/26/player/248/klara-buhl/market,captured,3800,3859,3977,4149,4357,4418,4234,7,3800,4234,434,0.11421052631578947,3800,4418,0.16263157894736843,4782,4012,4103,4192,4399,4582,4351,7,4782,4351,-431,-0.09012965286491008,4012,4782,0.19192422731804587,
alessia-russo,Alessia Russo,阿莱西娅·鲁索,forward|midfield,https://www.futbin.com/27/player/30/alessia-russo,https://www.futbin.com/26/player/122/alessia-russo,https://www.futbin.com/26/player/122/alessia-russo/market,captured,13285,15470,13731,14123,14889,14955,14523,7,13285,14523,1238,0.09318780579601053,13285,15470,0.16447120812946933,16886,16020,13674,14584,16234,16108,15953,7,16886,15953,-933,-0.055252872201823997,13674,16886,0.2348983472283165,
sophia-wilson,Sophia Wilson,索菲亚·史密斯,forward|midfield,https://www.futbin.com/27/player/38/sophia-wilson,https://www.futbin.com/26/player/74/sophia-wilson,https://www.futbin.com/26/player/74/sophia-wilson/market,captured,427449,416090,399694,406056,424569,455486,432722,7,427449,432722,5273,0.012335974584102431,399694,455486,0.1395867838896756,500328,448549,436083,411236,431264,442507,431313,7,500328,431313,-69015,-0.1379395116803377,411236,500328,0.21664445719732708,
melchie-dumornay,Melchie Dumornay,,forward|midfield,https://www.futbin.com/27/player/43/melchie-dumornay,https://www.futbin.com/26/player/257/melchie-dumornay,https://www.futbin.com/26/player/257/melchie-dumornay/market,captured,39346,39465,36385,49484,76149,78202,67219,7,39346,67219,27873,0.7084074620037615,36385,78202,1.1492922907791672,42818,43309,40528,54839,79326,83179,76066,7,42818,76066,33248,0.7764958662244851,40528,83179,1.0523835373075405,
barbra-banda,Barbra Banda,芭芭拉·班达,forward|midfield,https://www.futbin.com/27/player/48/barbra-banda,https://www.futbin.com/26/player/1138/barbra-banda,https://www.futbin.com/26/player/1138/barbra-banda/market,captured,3826,3415,2661,2798,2870,2885,2603,7,3826,2603,-1223,-0.3196549921589127,2603,3826,0.469842489435267,16400,3616,2699,2693,2884,2974,2687,7,16400,2687,-13713,-0.8361585365853659,2687,16400,5.103461109043543,
