releaseDate,evolutionId,name,category,inputOverallMax,inputPlaystylePlusMax,outputOverall,positions,rarity,playstylePlusAddCount,playstylePlusAdded,free,repeatable,dateConfidence,sourceUrl
2025-09-18,5,Intro to Evolutions,EVOLUTIONS,81,,82,,Not Rarity: World Tour Silver Stars,0,,true,2,inferred,https://www.futbin.com/26/evolutions/5/intro-to-evolutions
2025-09-18,6,Intro to Training Camp EVOs I,TRAINING CAMP,82,,,GK,Not Rarity: World Tour Silver Stars,0,,true,true,normalized,https://www.futbin.com/26/evolutions/6/intro-to-training-camp-evos-i
2025-09-18,7,Intro to Training Camp EVOs II,TRAINING CAMP,82,,,,Not Rarity: World Tour Silver Stars,0,,true,true,normalized,https://www.futbin.com/26/evolutions/7/intro-to-training-camp-evos-ii
2025-09-19,8,Intro to Rewards EVOs,REWARDS,82,,84,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/8/intro-to-rewards-evos
2025-09-19,9,Club Member Reward,REWARDS,83,,,ST,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/9/club-member-reward
2025-09-19,10,Rising Guard,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/10/rising-guard
2025-09-20,11,Cover Athlete,EVOLUTIONS,83,,85,CAM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/11/cover-athlete
2025-09-21,12,The Debut,EVOLUTIONS,82,,,GK,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/12/the-debut
2025-09-22,13,Striker’s Rise,TRAINING CAMP,74,,83,ST,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/13/strikers-rise
2025-09-23,14,Passing Prodigy,EVOLUTIONS,83,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/14/passing-prodigy
2025-09-25,15,One Shot,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/15/one-shot
2025-09-26,16,Complete Connection,EVOLUTIONS,83,,84,CM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/16/complete-connection
2025-09-26,17,Relentless Pressure,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/17/relentless-pressure
2025-09-27,18,Long Ball Pass,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/18/long-ball-pass
2025-09-28,19,Footwork Phenom,EVOLUTIONS,83,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/19/footwork-phenom
2025-09-28,20,Pinged Pass,REWARDS,84,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/20/pinged-pass
2025-09-29,21,ST Advanced Forward+,REWARDS,83,,,ST,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/21/st-advanced-forward
2025-09-29,22,Whipped Pass+,REWARDS,83,,,,Not Rarity: World Tour Silver Stars,1,Whipped Pass,true,true,inferred,https://www.futbin.com/26/evolutions/22/whipped-pass
2025-09-30,23,Cornerstones,REWARDS,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/23/cornerstones
2025-09-30,24,Iron Will,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/24/iron-will
2025-10-03,25,The Eighth King of Rome,EVOLUTIONS,83,,85,ST,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/25/the-eighth-king-of-rome
2025-10-03,26,CAM Upgrade,EVOLUTIONS,82,,,CAM,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/26/cam-upgrade
2025-10-04,27,Sprint Boost,EVOLUTIONS,83,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/27/sprint-boost
2025-10-04,28,Cornerstones,COSMETICS,,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/28/cornerstones
2025-10-05,29,Sideline Rise,EVOLUTIONS,74,,83,RM,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/29/sideline-rise
2025-10-07,30,Reflex Deflector,EVOLUTIONS,82,,,GK,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/30/reflex-deflector
2025-10-10,31,Backline Glow,EVOLUTIONS,80,,84,CB,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/31/backline-glow
2025-10-10,32,Ball Distributor,EVOLUTIONS,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/32/ball-distributor
2025-10-10,33,GK Boost,REWARDS,83,,,GK,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/33/gk-boost
2025-10-10,34,Shadow Striker++,REWARDS,84,,,CAM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/34/shadow-striker
2025-10-10,35,Finesse Shot,REWARDS,83,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/35/finesse-shot
2025-10-10,36,Intercept,REWARDS,84,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/36/intercept
2025-10-11,37,CDM Roles+,REWARDS,84,,,CDM,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/37/cdm-roles
2025-10-11,38,Gamechanger+,REWARDS,85,,,,Not Rarity: World Tour Silver Stars,1,Gamechanger,true,true,inferred,https://www.futbin.com/26/evolutions/38/gamechanger
2025-10-11,39,Inventive+,REWARDS,84,,,,Not Rarity: World Tour Silver Stars,1,Inventive,true,true,inferred,https://www.futbin.com/26/evolutions/39/inventive
