releaseDate,evolutionId,name,inputOverallMax,inputPlaystylePlusMax,outputOverall,positions,rarity,playstylePlusAddCount,playstylePlusAdded,free,repeatable,dateConfidence,sourceUrl
2025-09-18,5,Intro to Evolutions,81,,82,,Not Rarity: World Tour Silver Stars,0,,true,2,inferred,https://www.futbin.com/26/evolutions/5/intro-to-evolutions
2025-09-18,6,Intro to Training Camp EVOs I,82,,,GK,Not Rarity: World Tour Silver Stars,0,,true,true,normalized,https://www.futbin.com/26/evolutions/6/intro-to-training-camp-evos-i
2025-09-18,7,Intro to Training Camp EVOs II,82,,,,Not Rarity: World Tour Silver Stars,0,,true,true,normalized,https://www.futbin.com/26/evolutions/7/intro-to-training-camp-evos-ii
2025-09-19,8,Intro to Rewards EVOs,82,,84,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/8/intro-to-rewards-evos
2025-09-19,9,Club Member Reward,83,,,ST,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/9/club-member-reward
2025-09-19,10,Rising Guard,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/10/rising-guard
2025-09-20,11,Cover Athlete,83,,85,CAM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/11/cover-athlete
2025-09-21,12,The Debut,82,,,GK,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/12/the-debut
2025-09-22,13,Striker’s Rise,74,,83,ST,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/13/strikers-rise
2025-09-23,14,Passing Prodigy,83,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/14/passing-prodigy
2025-09-25,15,One Shot,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/15/one-shot
2025-09-26,16,Complete Connection,83,,84,CM,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/16/complete-connection
2025-09-26,17,Relentless Pressure,82,,,,Not Rarity: World Tour Silver Stars,0,,true,2,exact,https://www.futbin.com/26/evolutions/17/relentless-pressure
2025-09-27,18,Long Ball Pass,82,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/18/long-ball-pass
2025-09-28,19,Footwork Phenom,83,,,,Not Rarity: World Tour Silver Stars,0,,,2,exact,https://www.futbin.com/26/evolutions/19/footwork-phenom
2025-09-28,20,Pinged Pass,84,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/20/pinged-pass
2025-09-29,21,ST Advanced Forward+,83,,,ST,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/21/st-advanced-forward
2025-09-29,22,Whipped Pass+,83,,,,Not Rarity: World Tour Silver Stars,1,Whipped Pass,true,true,inferred,https://www.futbin.com/26/evolutions/22/whipped-pass
2025-09-30,23,Cornerstones,,,,,Not Rarity: World Tour Silver Stars,0,,true,true,inferred,https://www.futbin.com/26/evolutions/23/cornerstones
2025-09-30,24,Iron Will,82,,,,Not Rarity: World Tour Silver Stars,0,,true,true,exact,https://www.futbin.com/26/evolutions/24/iron-will
2025-10-03,25,The Eighth King of Rome,83,,85,ST,Not Rarity: World Tour Silver Stars,0,,,true,exact,https://www.futbin.com/26/evolutions/25/the-eighth-king-of-rome
