releaseDate,evolutionId,evolutionName,player,playerZh,slug,rating,position,baseDate,basePrice,priceD0,priceD1,priceD3,priceD7,peakDate,peakPrice,peakReturnPct,sourceUrl
2025-09-19,10,Rising Guard,Guéhi,马克·格希,marc-guehi,82,CB,2025-09-18,716,789,670,720,2638,2025-09-26,2638,268.44,https://www.futbin.com/26/player/402/marc-guehi/market
2025-09-19,10,Rising Guard,Konsa,安斯·干沙,ezri-konsa,82,CB,2025-09-18,2469,3318,1568,1927,1013,2025-09-19,3318,34.39,https://www.futbin.com/26/player/403/ezri-konsa/market
2025-09-19,10,Rising Guard,Pedro Porro,佩德罗·波罗,pedro-antonio-porro-sauceda,82,RB,2025-09-18,702,803,695,683,751,2025-09-19,803,14.39,https://www.futbin.com/26/player/404/pedro-antonio-porro-sauceda/market
2025-09-23,14,Passing Prodigy,Mancini,詹卢卡·曼奇尼,gianluca-mancini,83,CB,2025-09-22,850,819,750,805,815,2025-09-23,819,-3.65,https://www.futbin.com/26/player/205/gianluca-mancini/market
2025-09-23,14,Passing Prodigy,Rrahmani,阿米尔·拉赫马尼,amir-rrahmani,83,CB,2025-09-22,850,819,750,750,750,2025-09-23,819,-3.65,https://www.futbin.com/26/player/279/amir-rrahmani/market
2025-09-23,14,Passing Prodigy,Hincapié,皮耶罗·欣卡皮耶,piero-hincapie,83,CB,2025-09-22,96570,98933,99550,98995,99730,2025-09-28,99978,3.53,https://www.futbin.com/26/player/398/piero-hincapie/market
2025-09-25,15,One Shot,Guéhi,马克·格希,marc-guehi,82,CB,2025-09-24,833,1465,2638,1344,885,2025-09-27,2671,220.65,https://www.futbin.com/26/player/402/marc-guehi/market
2025-09-25,15,One Shot,Konsa,安斯·干沙,ezri-konsa,82,CB,2025-09-24,1450,1220,1013,1042,941,2025-09-25,1220,-15.86,https://www.futbin.com/26/player/403/ezri-konsa/market
2025-09-25,15,One Shot,Pedro Porro,佩德罗·波罗,pedro-antonio-porro-sauceda,82,RB,2025-09-24,750,750,751,750,750,2025-09-27,763,1.73,https://www.futbin.com/26/player/404/pedro-antonio-porro-sauceda/market
2025-09-26,17,Relentless Pressure,Guéhi,马克·格希,marc-guehi,82,CB,2025-09-25,1465,2638,2671,1421,977,2025-09-27,2671,82.32,https://www.futbin.com/26/player/402/marc-guehi/market
2025-09-26,17,Relentless Pressure,Konsa,安斯·干沙,ezri-konsa,82,CB,2025-09-25,1220,1013,1169,1037,1032,2025-09-27,1169,-4.18,https://www.futbin.com/26/player/403/ezri-konsa/market
2025-09-27,18,Long Ball Pass,Konsa,安斯·干沙,ezri-konsa,82,CB,2025-09-26,1013,1169,1042,1040,1550,2025-10-04,1550,53.01,https://www.futbin.com/26/player/403/ezri-konsa/market
2025-09-28,19,Footwork Phenom,Mancini,詹卢卡·曼奇尼,gianluca-mancini,83,CB,2025-09-27,806,791,800,775,753,2025-09-30,815,1.12,https://www.futbin.com/26/player/205/gianluca-mancini/market
2025-09-28,19,Footwork Phenom,Rrahmani,阿米尔·拉赫马尼,amir-rrahmani,83,CB,2025-09-27,750,750,750,750,750,2025-09-28,750,0,https://www.futbin.com/26/player/279/amir-rrahmani/market
