resourceId,name,rating,position,alternatePositions,pace,shooting,passing,dribbling,defending,physical,skills,weakFoot,playstyleCount,playstyles,goldPlaystyleCount,goldPlaystyles,historicalFc26PopularCount,fc27PopularityScore,matchingFc26EvolutionCount,matchingFc26Evolutions,club,league,isBigClub,isTopLeague,prelaunchPriceSnapshot,launchPriceReference
244067,Maxence Lacroix,82,CB,,86,45,61,67,83,82,2,2,4,Long Ball Pass | Jockey | Intercept | Aerial Fortress,0,,0,493,9,Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Chelsea,Premier League,false,true,25000,20000
231677,Marcus Rashford,82,LW,LM | ST,92,83,78,81,33,68,5,3,3,Dead Ball | Rapid | Quick Step,1,Power Shot,2,314,13,Intro to Training Camp EVOs II | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,Man Utd,Premier League,true,true,55000,20000
242444,João Félix,83,CAM,ST | LW | LM,81,81,79,84,45,71,5,4,5,Finesse Shot | Low Driven Shot | Incisive Pass | Technical | First Touch,0,,0,257,7,Club Member Reward | Passing Prodigy | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones,Al Nassr,ROSHN Saudi League,false,false,2900,1000
268889,Álvaro Carreras,81,LB,CB | LM,86,66,77,80,75,81,3,4,5,Jockey | Intercept | Anticipate | Relentless | Long Throw,0,,0,221,9,Intro to Evolutions | Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Real Madrid,LALIGA EA SPORTS,true,false,8600,750
232656,Theo Hernández,82,LB,LM,89,78,78,82,76,83,4,3,6,Dead Ball | Block | Aerial Fortress | Rapid | Quick Step | Bruiser,0,,1,197,7,Rising Guard | Passing Prodigy | One Shot | Footwork Phenom | Whipped Pass+ | Cornerstones | Iron Will,Al Hilal,ROSHN Saudi League,false,false,19000,60000
251852,Karim Adeyemi,82,RM,LW | CAM | RW,95,80,72,82,36,69,3,3,2,Power Shot | Rapid,1,Quick Step,0,119,11,Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,FC Barcelona,LALIGA EA SPORTS,true,false,13000,20000
243702,Djed Spence,80,LB,RB,89,54,71,79,76,75,3,4,2,Jockey | Rapid,0,,0,86,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Lombardia FC,Serie A Enilive,false,false,1100,1000
243580,Loïs Openda,80,ST,CAM,94,79,69,78,30,75,3,4,4,Finesse Shot | Low Driven Shot | Rapid | Quick Step,0,,5,82,12,Intro to Evolutions | Club Member Reward | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Footwork Phenom | Pinged Pass | ST Advanced Forward+ | Whipped Pass+ | Cornerstones | Iron Will,OL,Ligue 1 McDonald's,false,false,8000,200000
277427,Nico O'Reilly,83,LB,CM | CDM,83,70,78,79,81,81,3,2,2,Power Shot | Press Proven,0,,0,69,6,Passing Prodigy | Complete Connection | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones,Manchester City,Premier League,true,true,24000,4500
272978,Jorrel Hato,78,LB,CB | CDM,85,42,70,74,76,74,2,3,3,Pinged Pass | Jockey | Intercept,0,,0,65,12,Intro to Evolutions | Intro to Training Camp EVOs II | Rising Guard | Passing Prodigy | One Shot | Relentless Pressure | Long Ball Pass | Footwork Phenom | Pinged Pass | Whipped Pass+ | Cornerstones | Iron Will,Chelsea,Premier League,false,true,500,750
